"id","State","Region","Animal_Type","Animal_Name","Breed_Description","Colour","Animal_Desexed"
"17819v","Victoria","Colac Otway","Dog                                     ","CHUBBY                                  ","Labrador                                ","NULL",""
"142785v","Victoria","Wyndham","Cat       ","","Domestic","",""
"97268v","Victoria","Ballarat","Cat","Bailey","Burmese","",""
"46906v","Victoria","Geelong","Dog","Shuko","German Shepherd","",""
"35939v","Victoria","Geelong","Dog","Violet","Labrador/Staffordshire","",""
"114898v","Victoria","Ballarat","Dog","Ralph","German Wire Hair Pointer","",""
"70244v","Victoria","Geelong","Dog","Lewy","Pomeranian","",""
"13234v","Victoria","Greater Dandenong","DOG ","","Pomeranian","","Y"
"154462v","Victoria","Wyndham","Dog       ","","American Staffordshire Terrier","",""
"55483v","Victoria","Geelong","Cat","Izzy","Domestic","",""
"77361v","Victoria","Southern Grampians","dog","","","","y"
"84561v","Victoria","Ballarat","Cat","Kitty","Domestic Short Hair","",""
"104515v","Victoria","Ballarat","Dog","Mayhem","Jack Russell Terrier","",""
"110188v","Victoria","Ballarat","Cat","Boston","Domestic","",""
"70794v","Victoria","Geelong","Dog","Snooki","Pug/Cross","",""
"88946v","Victoria","Ballarat","Dog","Cheyene","Siberian Husky","",""
"151921v","Victoria","Wyndham","Cat       ","","Oriental","",""
"7089v","Victoria","Greater Dandenong","DOG ","","Staffordshire Bull Terrier X","","Y"
"5754v","Victoria","Golden Plains","DOG ","JACK ","AUSTRALIAN SILKY TERRIER ","","N"
"137135v","Victoria","Wyndham","Dog       ","","Maltese Terrier Cross","",""
"129666v","Victoria","Wyndham","Dog       ","","Whippet","",""
"151452v","Victoria","Wyndham","Cat       ","","Domestic Short Hair","",""
"66701v","Victoria","Geelong","Cat","Opal","Domestic","",""
"93485v","Victoria","Ballarat","Cat","Blacky","Domestic Short Hair","",""
"51127v","Victoria","Geelong","Dog","Buddy","Beagle/Cross","",""
"49872v","Victoria","Geelong","Dog","SAM","Cavalier KC Spaniel","",""
"10396v","Victoria","Greater Dandenong","DOG ","","Fox Terrier X","","Y"
"39333v","Victoria","Geelong","Dog","Suki","Jack Russell/Fox Terrier","",""
"3654v","Victoria","Golden Plains","DOG ","CHELSEA ","KING CHARLES SPANIEL ","","Y"
"18714v","Victoria","Colac Otway","Dog                                     ","Lucy                                    ","Collie X                                ","WHI ",""
"81001v","Victoria","Ballarat","Dog","Lucy","Cavalier K.c. Spaniel","",""
"92359v","Victoria","Ballarat","Dog","Mocha","Shihtzu (Cross)","",""
"61112v","Victoria","Geelong","Dog","Rosie","Kelpie","",""
"151569v","Victoria","Wyndham","Dog       ","","Chihuahua","",""
"141587v","Victoria","Wyndham","Dog       ","","German Short Haired Pointer Cross","",""
"64560v","Victoria","Geelong","Dog","Ted","Maltese/Shih Tzu","",""
"143032v","Victoria","Wyndham","Dog       ","","Bull Terrier","",""
"97957v","Victoria","Ballarat","Dog","Jonsy","Queensland Heeler","",""
"54848v","Victoria","Geelong","Dog","Ruby","Golden Retriever","",""
"1828v","Victoria","Golden Plains","DOG ","BUSTA ","JACK RUSSELL TERRIER ","","Y"
