"id","State","Region","Reference","Animal_Name","Colour_primary"
"118269","Victoria","Ballarat",NA,"Jack Wilson","Brown"
"106347","Victoria","Ballarat",NA,"Eva","Black And White"
"156347","Victoria","Wyndham",NA,"","TRI       "
"63947","Victoria","Geelong",NA,"Archie","White/Brown"
"79724","Victoria","Ballarat",NA,"Susie","Brown"
"43442","Victoria","Geelong",NA,"Pearl","Tri Colour"
"15324","Victoria","Colac Otway",NA,"Tilly                                   ","BLA "
"76071","Victoria","Southern Grampians",10769,"",""
"129451","Victoria","Wyndham",NA,"","TOR/SHL   "
"11891","Victoria","Greater Dandenong",NA,"","Fako"
"130172","Victoria","Wyndham",NA,"","BRN/WHT   "
"152974","Victoria","Wyndham",NA,"","BROWN     "
"13613","Victoria","Greater Dandenong",NA,"","Brown"
"11206","Victoria","Greater Dandenong",NA,"","White"
"91771","Victoria","Ballarat",NA,"Deizl","Black"
"74768","Victoria","Southern Grampians",4504,"",""
"57901","Victoria","Geelong",NA,"Rooney","White/Black"
"55195","Victoria","Geelong",NA,"Tiger","Tabby/White"
"74895","Victoria","Southern Grampians",5290,"",""
"8926","Victoria","Greater Dandenong",NA,"","Black"
"86948","Victoria","Ballarat",NA,"Matilda","Brindle"
"148187","Victoria","Wyndham",NA,"","NULL"
"129863","Victoria","Wyndham",NA,"","WHT/BRIND "
"113142","Victoria","Ballarat",NA,"Teddy","Tricolour"
"91139","Victoria","Ballarat",NA,"Mika","Black And White"
"102918","Victoria","Ballarat",NA,"Benny","Black"
"46710","Victoria","Geelong",NA,"CODIE","Grey"
"99775","Victoria","Ballarat",NA,"Princess Sparkles","White"
"27833","Victoria","Geelong",NA,"Took","Black/White"
"153049","Victoria","Wyndham",NA,"","TRI       "
